,caption,date,customer,rating,transcript
10,Impecable Service - True to the Oberoi name!, January 2021,lm1900,4.0,"<q class=""IRsGHoPm"">
 <>
  The exteriors of the Amarvilas are just stunning, an architectural feat almost, with perfectly manicured lawns, greenery, shrubs pruned to perfection and gorgeous landscaping! The way the local sandstone has been used to weave their outdoors is mindblowing.  The views the Taj from the room balconies is unbelievable! I mean where in the world can you get that, looking at te wonder of the world while sipping your tea/cofffee!  The staff and service is 10/10, and really cannot get more co-operative or courteous. I will have to say I travel a fair bit, and ave stayed at some top properties, but the service at Amarvilas surpasses any other absolutely. To give an example, breakfast is supposed to be upto 10.30am, but they served us in the room till 11-30-12pm! Without any hesitation
 </>
 <>
  …
 </>
</q>"
11,Highly recommend hotel in Agra, February 2020,David K,4.0,"<q class=""IRsGHoPm"">
 <>
  The Oberoi Amarvilas was the most impressive place we stayed during our two weeks holiday in India. The location is stunning, our room was on the third floor with the large balcony which had a great view of the Taj Mahal. All the staff were friendly and helpful, especially the staff who served us at Esphahan. The food served at Esphahan was great with high quality, we loved the old delhi butter chicken which we called it the “best butter chicken ever”. The attention to detail was superb. If you have the worry about a long day road trip, hard to find quality food outside of the hotel, meal boxes were provided in the breakfast restaurant for all the guests to take extra free food to eat on the road. It is a hotel that is loved by travelers, highly recommend the Oberoi Amarvilas
 </>
 <>
  …
 </>
</q>"
12,Our Honeymoon Stay @theOberoiAmarVilas, December 2020,Anjalee Patwary,5.0,"<q class=""IRsGHoPm"">
 <>
  Since my engagement, my husband (then fiance) wanted to make me stay at The Oberoi as each and every room has a view of the Taj (the symbol of eternal love). I saw the pictures and immediately agreed for Amar Vilas to be the start to our moons.  We were at the property for just 1 night - from 19th to 20th of Dec, 2020.   Our stay was nothing short of excellent. We were greeted at the entrance and from then on, we had people serving, helping, guiding us throughout our stay. The food was exceptional. Being a luxury property and having a lot of foreigners as their guests, we had assumed the food to be bland but it was just outstanding - breakfast, lunch as well as the dinner. The staff arranged a special balcony dinner for us as it was our honeymoon. There was a personal butler who
 </>
 <>
  …
 </>
</q>"
13,First month wedding anniversary, December 2020,Inayat,5.0,"<q class=""IRsGHoPm"">
 <>
  We went on the 20th December to celebrate our first month. We were more than spoilt by everyone at amarvilas. They upgraded our room to a balcony room to make our special day even more special. We’ve never had such flawless tasting food anywhere else in the world. The staff was super loving and caring. I wish I had words to describe how amazing our entire experience was. Celebrating our love viewing the eternal symbol of love is the cherry on the cake.
 </>
</q>"
14,Excellent Property! Amazing service - feels super-safe., December 2020,kaustubhprasad,5.0,"<q class=""IRsGHoPm"">
 <>
  Our first trip post lockdown was to Amarvilas. And we were truly glad we took the decision, in spite of the apprehension surrounding Covid. The property felt truly safe. Special mention to the amazing staff who have seen their business being severely impacted because of Covid, but will still go out of their way to ensure the customer's comfort. We were blown away by the service. Outstanding!
 </>
</q>"
15,"Fabulous location, unparalled service", December 2020,Archana M,5.0,"<q class=""IRsGHoPm"">
 <>
  Apart from the fact the the hotel has a spectacular location with every room facing the Taj Mahal, the staff at the Oberoi Amarvilas make the visit special. This was my first-ever trip to Agra and I had high expectations.  The team at The Oberoi lived up to them - completely! They even helped pick the variations of petha I should bring back! Thank you, Team!
 </>
</q>"
16,Simply overwhelmed, December 2020,Kirti S,5.0,"<q class=""IRsGHoPm"">
 <>
  Me and my wife had gone to Agra for our 35th marriage anniversary. Having enjoyed hospitality of other Oberoi hotels, we expected impeccable service, excellent ambience and food etc. However from check in till check out we were quite overwhelmed with the service and detailed care.  The property is hardly 500 meter from Taj, the very purpose of visit. Golf cart takes you to Taj. In other hotels you ask Concierge helps you. At oberoi every employee helps you with details.  As regards food, there is excellent spread available for breakfast be it buffet or table service. Both restaurant serves quite  tasty dishes. As all ingredients are fresh, the quality of food is excellent.  Overall a very good experience. Naming a few employees will be injustice to others so will not do so.  The
 </>
 <>
  …
 </>
</q>"
17,"""Breathtaking Hospitality!""", December 2020,Avishi Srivastava,5.0,"<q class=""IRsGHoPm"">
 <>
  We visited Amarvilas for my brother's birthday trip. From the very beginning towards the very end- every single thing was ""PERFECT"" ! The entire team looked after us just like a family does. Plus, the birthday card provided to my brother ...brought us all the biggest smiles!  Thank you Amarvilas Team for making our trip an ""EXTRAORDINARY TRIP!""
 </>
</q>"
18,Wow Factor of Oberoi’s was missing, December 2020,Gunjan,3.0,"<q class=""IRsGHoPm"">
 <>
  This was our second trip to Amarvillas . First time we stayed at this property three yrs ago and it was just wow . But now this hotel should not be called 5 star . They are charging so much but was sorry to see it’s conditions detoriating. When you go to one of the top most hotels in the country you expect best of everything . Staff was courteous and helpful. But everything else was not good. Food was not at all tasty . Rooms were clean but wooden flooring was dirty .All working staff seemed to be young and no experienced person was there! Very less range of menu, poor presentation specially Curd which was sour, South Indian was really bad! On complaints , they offered to replace but of no use! Specially on getting packed sandwiches on checkout , it was a phenomenal charge ,
 </>
 <>
  …
 </>
</q>"
19,Excellent Stay , December 2020,Smita C,5.0,"<q class=""IRsGHoPm"">
 <>
  Oberoi hospitality as usual was amazing and it never lets us down. Our friend was proposing to his girlfriend and the staff arranged everything. The candle light decoration in the balcony and the beautiful decoration in room was exceptional. Special thanks to Bishal, Akash and Soham for taking care of all our needs and making our stay a memorable one.
 </>
</q>"
20,Thank you, December 2020,Abishek Agarwaal,5.0,"<q class=""IRsGHoPm"">
 <>
  It was a great stay  Mr. Ripudaman in f&amp;b helped us really well It was a great memorable stay The Taj view was so amazing  Breakfast was very amazing  And all the staff members was very supportive. Thank you
 </>
</q>"
21,Fabulous stay , December 2020,Aarush Jain,5.0,"<q class=""IRsGHoPm"">
 <>
  Me and wife visited amarvilas recently and had the best time . Oberoi hospitality is always top notch and our stay was nothing less than spectacular . Chef arjun yadav, Tony and yash raj are amazing at their job , they made sure our taste buds were satisfied to the core. Jai and Rohit at the bar got us the finest cocktails. And the team of soham mandeep and Shashank at the restaurant were the perfect hosts. The service was quick and prompt, the food was heavenly . The views were exceptional .  Just 1 thing, the corridors got a little noisy for the morning cleaning post 8 am and disturbed our sleep . Other than that, we had a blissful stay and can’t wait to get back .
 </>
</q>"
22,Fabulous stay!!, November 2020,ct182019,5.0,"<q class=""IRsGHoPm"">
 <>
  A fantastic stay at the Oberoi, which started with a warm welcome- thanks to Karan. Attention to detail coupled with the personalized touch was the highlight of the stay. We were here for pre-Diwali celebrations and Akash and his team ensured that we had a memorable experience- The special dinner arrangement organized was the cherry on the cake. Extremely satisfied with the in room dining experience. Thanks to Sandeep! and last but definitely not the least- a big call out for Usama. His attention to detail and exemplary service provided has created lasting memories for us. The servicing experience created by Usama has been one of the best we have seen till date!! Service Par Excellence!!
 </>
</q>"
23,Thank You!!, November 2020,Savvy Traveler,5.0,"<q class=""IRsGHoPm"">
 <>
  My wife and I were celebrating our late anniversary at Amarvilas.  It blew our mind with the arrangements. Big shout out to the housekeep team for their surprise.  Dinner was nothing but amazing.  With the ambiance and music, we felt special.  We will come back again!!
 </>
</q>"
24,Top notch wedding destination 👌🏻👌🏻, November 2020,Sourabh Jodhani,5.0,"<q class=""IRsGHoPm"">
 <>
  My name is Sourabh jodhani, i put at delhi. My sister's wedding functions took place at Oberoi's amarvillas on 25th,26th &amp; 27th nov.  We as family members are immensely grateful to oberoi amarvillas team. They made each &amp; every moment special for us during all our events. From Room accomodation to Food &amp; beverages quality, from their Humble Hospitality to high class room service &amp; housekeeping, everything was just perfect &amp; top notch.  Our special thanks to Mr. Deep, he is a highly professional person &amp; did a fantabulous job throughtout the three days. His hospitality was appreciated by our each &amp; every guest. He guided the team well &amp; his team was flawless at every point. The food quality &amp; hospitality was matchless with any of their competitors. We have no complains at all in
 </>
 <>
  …
 </>
</q>"
25,Must visit, November 2020,Ishani,5.0,"<q class=""IRsGHoPm"">
 <>
  Oberoi Amarvilas has done it again as we visited it after 7 years. Lots had changed but the warm hospitality remains intact. Easily the best hotels we have ever stayed at! Hands down. Thank you staff!
 </>
</q>"
26,Thank you!, November 2020,Robb H,5.0,"<q class=""IRsGHoPm"">
 <>
  A big shout out to Ripu Daman our waiter this morning for breakfast who made sure we also had a pack lunch for the ride home.... all complementary!!  Now that is customer service.  And the view of the Taj... pretty good too!!!  The hotel was very good about Covid cleanliness... maybe they could work on their ramps for our friend in a wheelchair.   Something to think about in the future!!  But overall a magical experience!!
 </>
</q>"
27,Best Stay in india, November 2020,Shubham singhal,5.0,"<q class=""IRsGHoPm"">
 <>
  I have traveled many hotels in india as well as abroad but the Oberoi amarvillas experience was super sy upar, loved the hospitality and the treatment by the staff. I have a child and they really helped me in the stay with my 1year old child. Love the stay a lot, would like to visit the hotel again whenever again possible for me
 </>
</q>"
28,Oberoi Amarvilas - Memorable Magical experience in the Pandemic!!!, November 2020,nahidau,5.0,"<q class=""IRsGHoPm"">
 <>
  We stayed here for 2 nights on my birthday which coincided with the full moon night! The whole team was exceptional!!! Right from the time we landed at Agra till we left Amarvilas it was magical. The Audi pickup from the railway station, fantastic property, epicurean food, super efficient, warm and friendly staff. And the best part was a complimentary upgrade to a room with a balcony view of the Taj 24*7! It was my birthday and everyone made it sooooo special. It couldn't get any better for us! After 10 months of being locked home in Mumbai, we travelled on a tentative note and it was the best decision to start with a stay at the Amarvilas. We came home thrilled, energized and relaxed. We clicked tons of pictures on their property and made several visits to the Taj which is very
 </>
 <>
  …
 </>
</q>"
29,"Exceptional Property, Above and Beyond Service", November 2020,Vidur V,5.0,"<q class=""IRsGHoPm"">
 <>
  We stayed there for 3 nights, and had an excellent experience. The property is beautiful with lush gardens and great architecture, with a view of Taj Mahal from the rooms. The service is exceptional with the staff going above and beyond to keep guests happy. We would like to specifically mention certain staff members from the team for providing exceptional service :   1. Ms. Apoorva from the front office team for providing an excellent tour of the property.  2. Mr.Shashank and Mr.Ripudaman, and other restaurant team members from the F&amp;B department for the great food and service.  3. Mr.Nitin from the housekeeping team for beautiful room decorations and service.  Every member of staff with whom we interacted provided great service, and we would like to acknowledge them as well.
 </>
 <>
  …
 </>
</q>"
30,Extraordinary hotel = Service staff and view, October 2020,Sahil Chopra,5.0,"<q class=""IRsGHoPm"">
 <>
  If you are in for bespoke luxury, then you cant miss this hotel. Team is well led by Vishal and the service levels are extraordinary to say the least. You cant have enough of the view of Taj Mahal from your room. A special word for Avipsa, the lady took care of us and was there all the time. Chef Gurbansh will surprise you with some scrumptious lamb n chicken!  Must must visit!!! We'll come back soon!
 </>
</q>"
31,Worth a visit, October 2020,Anish Awasthi,4.0,"<q class=""IRsGHoPm"">
 <>
  As good as it gets, there were a few glitches as they were opening after a period of six months. An army of hospitable young staff who will make every effort to make you comfortable. Water vanished from taps for a couple of minutes on two occasions, scary, We were offered a room on the fourth floor, majestic view of the Taj, not so sure if rooms on lower floors will have same view, perplexing they dont have a viewing gallery from where you can click a few pics with the majestic Taj, it would be a huge plus. Also missing is a walking/jogging track. The property is huge, beautiful and very well maintained, Rates are steep but worth a visit to experience the luxurious surroundings and the  best of Indian hospitality.
 </>
</q>"
32,Simply amazing, December 2019,pprsinghpramod,5.0,"<q class=""IRsGHoPm"">
 <>
  Just had a great amazing experience  at this property. Just fabulous. Excellent rooms excellent service excellent staffs. Everything was almost excellent. Great for family and couples. Great location and good view from the room
 </>
</q>"
33,Stunning views!  Great rooms and awesome staff., February 2020,DOUG and NIKI,5.0,"<q class=""IRsGHoPm"">
 <>
  We were blown away by everything about this hotel.  It's hard to explain just how amazing the views are but we can show you.  Check out our full video review on YouTube.  Search DOUGandNIKI and you'll find it.
 </>
</q>"
34,Stunning vista., February 2020,Di 808,5.0,"<q class=""IRsGHoPm"">
 <>
  A must if you are visiting the Taj Mahal as the room had a wonderful view of it.   The hotel was absolutely delightful with a really caring staff.   We were shown around all the kitchens which were spotless and the food really delicious.    The swimming pool was stunning and you were given towels, sun cream and water.  I have difficulty with steps and I must say that this hotel has a great many !  They are made of marble and can be slippery so beware but the staff were there to help this old lady.   I long to visit again and it is just a golf cart away from the magnificent Taj Mahal.
 </>
</q>"
35,"FABULOUS ,service is impecable", November 2019,mrencinales,5.0,"<q class=""IRsGHoPm"">
 <>
  The hotel is located in a perfect spot, easy to go to the taj , only minutes away by glof car provided by hotel. the service and food is impecable , evry sinlge person working at the hotel is extreamly profetional . spectial thanks to the manager for a special treatment for our aniversary celebration stay. you and your team have make it memorable.
 </>
</q>"
36,Truly One of The Top Hotels in the World!, March 2020,Chef Jimmy C,5.0,"<q class=""IRsGHoPm"">
 <>
  My son and I stayed here a couple nights while on a trip around India. We added an extra night because it was so relaxing.  Twin room with two extra firm beds (they offered to swap out for a softer mattress) Fantastic view of the Taj Mahal morning noon and night. The staff were amazing from security, to desk and restaurant staff. It is a little pricey but after you stay you will find its actually a great value. I hope to return soon.
 </>
</q>"
37,Nice Stay, February 2020,Cynthia P,4.0,"<q class=""IRsGHoPm"">
 <>
  Not as nice as its sister hotel in Delhi.  The hotel is a bit more tired and the service not quite as good.  The rooms are still spacious with good lighting and well-placed outlets. Only one sink in the bathroom and no water closet.  There is a lack of counter and storage space in the bathroom. Large walk-in closet. Staff friendly and helpful. The pool is beautiful and wonderfully clear.
 </>
</q>"
38,Beautiful hotel in Agra, March 2020,andyspindles,5.0,"<q class=""IRsGHoPm"">
 <>
  Stayed only one night but wish it was more. Lovely room with fantastic view of the Taj Mahal. Very opulent and serene, very well appointed rooms and facilities, with great food and service. Highly recommended.
 </>
</q>"
39,A vision resplendent, March 2020,MWandAW,4.0,"<q class=""IRsGHoPm"">
 <>
  My wife and I stayed here for two nights in early March and were blown away by the Oberoi chain's visual expression of perfection, both in aesthetics of how a hotel should look and by the expertise of management and the efficiency of the service staff. They have perfected the art of hotels. The external views of this hotel are monumental, just like the other ""vilas"" hotels in Jaipur and Udaipur. This hotel has an added  bonus of being located only 600 metres from the gate of the Taj Mahal, the most famous building in the world. The added bonus of the presentation of a garland of fresh flowers to each guest on arrival, is a nice touch. Our bedroom faced the Taj Mahal and we could see it from our bed. That is an amazing view that everyone can have, just by staying at this hotel.
 </>
 <>
  …
 </>
</q>"
40,A fitting hotel for the Taj Mahal , February 2020,Leckby,5.0,"<q class=""IRsGHoPm"">
 <>
  This hotel is often under appreciated, most guests arrive, see the Taj Mahal and depart. Whilst there is nothing wrong with this, it is a shame. The hotel, the rooms, the grounds, the pool (in spite of the absence of a hand rail) are all superb. The new restaurant is an enormous improvement, although you still cannot sit, enjoy the excellent food and see the Taj. The quality of the service is pure Oberoi,  what more can I say...
 </>
</q>"
41,Taj Mahal trip, March 2020,Simone,5.0,"<q class=""IRsGHoPm"">
 <>
  We only stayed here for one night to see the Taj Mahal. The hotel arranged a (paid) private tour, our guide was very well informed, also knew great spots to take photos without the crowds. At the hotel, everything was perfect! The view from our 3rd floor hotel room was one of the best I’ve seen! The service and restaurants were excellent!
 </>
</q>"
42,"Great hotel, incredible location.", March 2020,Simon P,5.0,"<q class=""IRsGHoPm"">
 <>
  5 mins walk to the Taj Mahal, just stay here you won’t regret it. Fantastic restaurants and kitchen, ever helpful staff, great pool and garden area, rooms have a view of Taj Mahal easy walk to shops in the market
 </>
</q>"
43,Service vs. view, February 2020,Ginger M,5.0,"<q class=""IRsGHoPm"">
 <>
  The property is in a perfect location.  The service is amazing.  I was so impressed by Rohit who worked in the lobby bar.  He wrote a personal note and packed my favorite snack for the ride back to Delhi.  It addition on a chilly morning, I walked out to the patio to enjoy the view and he brought me a warm water.  I was blown away by his observation skills, etiquette, and attention to detail.  Our room was lovely, but the view was magnificent.  This was a bucket list trip and it was so worth treating our self!
 </>
</q>"
44,Simply amazing, March 2020,gfsc5,5.0,"<q class=""IRsGHoPm"">
 <>
  One of the top hotels of the world.  That’s my review in a nutshell.  The grounds are beautiful and immaculate and include a great pool for swimming.  Worth taking a wander.  The rooms are very good.  Ours had views of the Taj Mahal about 600m away.  What more can one ask for?  Staff were so, so friendly and helpful and beautifully dressed.  Couldn't fault them.  There are two restaurants with one specialising in Indian food.  It wasn't cheap but the food was lovely plus we had live Indian music.  And we were invited to tour the kitchen to see the tandoor ovens but ended up seeing the whole kitchen area.  Very nice.  The other restaurant - the Belvedere - is where a lovely breakfast is served.  They also do lunches and have nice dinner options.  Again, the food is very tasty.  A
 </>
 <>
  …
 </>
</q>"
45,A dreamlike experience, February 2020,Wildernestlane,5.0,"<q class=""IRsGHoPm"">
 <>
  Unbelievably beautiful with a view of the Taj Mahal. This was a unique experience which will never be forgotten. One of many highlights of our trip to India. It is the best hotel in Agra. The chef and staff at the Esphahan restaurant  prepared and served a very special dinner. The staff of the hotel were wonderful- especially Avipsa, Ripudaman (RDY) and Manasir.
 </>
</q>"
46,Wonderful Oberoi Experience!!, March 2020,David E,5.0,"<q class=""IRsGHoPm"">
 <>
  We worked directly with an Oberoi Destination Expert at The Oberoi Group to plan a wonderful 12 night trip to see Delhi, Agra, Jaipur and Udaipur.  They were so helpful and thoughtful in creating an itinerary of memorable stays at each of the Oberoi properties at these locations.  Working directly with Oberoi gave us peace of mind that all details would be covered, and came with more amenities for less cost than working with a third party tour operator or web booking service.  We just booked the domestic flights directly with the airlines to complete the trip.  And at each location, we worked with Oberoi’s Concierge to plan our own personalized site seeing with wonderful guides and private drivers.  The guides were very knowledgeable and tailored our day to suit our interests
 </>
 <>
  …
 </>
</q>"
47,Truly magnificent , March 2020,Susan123014,5.0,"<q class=""IRsGHoPm"">
 <>
  Sitting on our balcony of the Oberoi sipping drinks watching the sunset over the Taj Mahal nothing could make it more perfect. When we entered the gates of the hotel from the busy hectic road that leads to the the Taj my jaw dropped and I felt a lump in my throat as the hotel is a monument in itself. We were met with smiles, a cold towel and a cold fruit juice. Room fabulous and service impeccable. Thanks to all the staff.
 </>
</q>"
48,"Best hotel in Agra, but more of a 3 star.", February 2020,Libby in Cincinnati,3.0,"<q class=""IRsGHoPm"">
 <>
  Really more of a three star property. The grounds and exterior are lovely. The best part of this hotel is its location. You could walk up the street to the Taj Mahal entrance if you wanted to. If you face the poolside, you should have a view from your room of the Taj Mahal. The bar and terrace outside the bar have lovely views as well.  The staff tries, but they speak at such a low level it is hard to hear them.   The rooms are somewhat ordinary. The internet was spotty. Sometimes it worked, and sometimes it didn’t. It was out for a good portion of one day for some reason.The phone in our bathroom was barely attached to the wall. I reported it, but they never fixed it. The makeup mirror was not attached to the wall and did not have a light. The drawer with the hairdryer was
 </>
 <>
  …
 </>
</q>"
49,The best in Agra, October 2019,PPandey,5.0,"<q class=""IRsGHoPm"">
 <>
  Beautiful and classy hotel offers world class service, the well trained staff makes sure your stay is comfertable. Ambience at night is wonderful. Food served at all times was tasty. Property offers view of the TAJ MAHAL as well.
 </>
</q>"
50,Fabulous property. Stunning views.  Superior 5star Service, February 2020,Rufus,5.0,"<q class=""IRsGHoPm"">
 <>
  The Oberoi Hotel in Agra is almost as mythic as the Taj Mahal.   The design is dazzling.  The staff is supremely helpful with grace and style.  The food and service at the BelleView restaurant was excellent.  It was a dream.
 </>
</q>"
51,Amazing , March 2020,Dogsey,5.0,"<q class=""IRsGHoPm"">
 <>
  The position and view of Taj Mahal is amazing.  The rooms are beautiful and very clean.  The pool area is superb.  All the grounds are beautiful.  The food is exceptional.  The staff are very professional and friendly.  Loved it here.
 </>
</q>"
52,Beautiful Hotel with incredible view of the Taj Mahal, February 2020,jmmlaguna,5.0,"<q class=""IRsGHoPm"">
 <>
  Spacious room, with large terrace  overlooking The Taj Mahal.  Perfect way to watch the sunset over the Taj Mahal.  Hint:  Don't take any unnecessary items on the tour, such as backpack, purse, camera bag, shopping bags.  Security is tight and this will delay your entry considerably.  We enjoyed a nice lunch on the nicely shades patio outside the main restaurant.  Dinner and cooked to order breakfast served in the restaurant Bellevue with exceptional service from the wait Staff including Ripudaman and the restaurant manager Dheeraj.  Dheeraj had arranged an anniversary cake and gave us a tour of the kitchen! Everything prepared perfectly including the morning eggs.  Guide (Bilal) arranged by Oberoi, who seemed to know the way through the Taj Mahal avoiding the crowds, including
 </>
 <>
  …
 </>
</q>"
53,A magic weekend, February 2020,Sigrun-60,5.0,"<q class=""IRsGHoPm"">
 <>
  Nothing frames the ethereal Taj Mahal better than this hotel with its stunning views towards the monument, overlooking its own splendid gardens. It is also always soothing to return to a Oberoi property done in the ""traditional"" style which makes it so unique ; in times when some of the hotels in the group undergo modernization and loose their previous charm. The team was very efficient and willing to go the ""extra mile"" - under the discreetly present and able leadership of GM Mr Vishal Pathak - to make our stay extraordinary and truly memorable. Close proximity to the Taj Mahal's east gate makes it very convenient to visit the monument at different times of the day and seeing it in various shades of lights is highly recommendable. In summary, a very glorious weekend!
 </>
</q>"
54,Excellent 5* hotel overlooking the Tag Mahal , February 2020,Qwec1,5.0,"<q class=""IRsGHoPm"">
 <>
  Stayed there 2 weeks ago for visiting the Tag Mahal. Had warm welcome from staff and general manager, who invited us to join them to the beautiful property. We spent there the night before visiting the Tag. All rooms are overlooking the magnificent Tag, you are invited to sit on your terrace with a cup of tea and watch the sun going down on the Tag. The room  was very big, spotless clean. Bed, very comfortable. Modern place with everything needed and expected from a high standard 5* hotel. We dined in the Indian restaurant. It was a wonderful evening. Food was excellent, staff going out of their way to make you happy. The visit to the Tag in the early morning was well organized. The location of the hotel is very close to the Tag, and the transportation in the buggy is well
 </>
 <>
  …
 </>
</q>"
55,Trip to Taj Mahal stay was amazing, February 2020,Gluten-free 2 go,5.0,"<q class=""IRsGHoPm"">
 <>
  My Husband and I stayed here the night before our Taj Mahal trip. This hotel is so beautiful! Very well maintained and clean. The staff went out of their way to help. I have gluten allergies and the restaurant made me fresh bread, and a gluten free pasta for dinner and were very attentive at breakfast. The buffet was so good, with many made to order options as well. They had international food as well as local cuisine. The Hotel has shops available, and the views are just unbelievable. This is a very high end hotel, worth every penny.
 </>
</q>"
56,Incredible Service, February 2020,AAlisberg,5.0,"<q class=""IRsGHoPm"">
 <>
  This is a beautiful hotel and every room has a view of the Taj Mahal.  But I wanted to share how fantastic is the service.  My wife left a pair of pants in the room.  The hotel arranged for the pants to be sent 3 hours away and delivered to us in Jaipur... at no cost.  Service at all the Oberois is the best!
 </>
</q>"
57,Excellence at best, February 2020,smth0314,5.0,"<q class=""IRsGHoPm"">
 <>
  Worth every penny. Service.  Location. Food.  All 7 star hotel rated     The oberoi did not disappoint.   My new favorite hotel line  the proximity to the Taj is a few minutes away.  You get picked up in a golf cart    The hotel is very pretty and luxurious
 </>
</q>"
