,caption,date,customer,rating,transcript
37,Beautiful Property... must visit..!!, January 2021,Akki,5.0,"<q class=""IRsGHoPm"">
 <>
  Visiting the place for the second time.. It’s a well maintained property with absolutely warm staff and lovely ambiance.. rooms are well done and the service is also commendable.. food is also worth each bite.. MUST VISIT..!!
 </>
</q>"
38,Comfortable Stay., January 2021,Tanya J,3.0,"<q class=""IRsGHoPm"">
 <>
  The stay at the hotel was comfortable and relaxing. Mention to front desk personnel Mr. Rajat Verma for keeping up the hospitality demands. Mr. ManSingh for prompt room service and Mr. Dinesh Rajput, the baggage butler for our room.  A few improvements i would like to see as well. The food serving staff across the counter must have knowledge about what he/she is serving. Secondly, the senior staff at the dining area should be polite in their words and actions. Call was not answered for long durations made to the hotel staff.  So, overall a comfortable stay but with lots of improvements.
 </>
</q>"
39,Memorable stay, December 2020,Fearless63213267638,5.0,"<q class=""IRsGHoPm"">
 <>
  Great hospitality and an awesome stay.. Thanks to Front office Manager, Mr. Ankit Manocha for going the extra mile and ensuring our comfortable stay.. All my apprehensions of going with my 2 year old son were gone out of the window, when I saw the care the staff took in these covid times.. Sanitization and proper hygiene was maintained.. Food was scrumptious.. I would recommend all to plan a day solely for exploring the property.. It has a lot to offer from Taj Mahal view candle light dinner to amazingly refreshing spa services.. A must weekend trip for Delhiites to go for royal treatment and an amazing experience in this pandemic..
 </>
</q>"
40,Ms., January 2021,Neelu,5.0,"<q class=""IRsGHoPm"">
 <>
  Excellent hotel with awesome rooms and beautiful view. Great service provided by Mr. Ankit Manocha during our short but extremely comfortable stay. He made sure that we felt at home and had a pleasant stay.
 </>
</q>"
41,Perfect Place for STAYCATION, January 2021,Monika,5.0,"<q class=""IRsGHoPm"">
 <>
  Its amazing property and we always come back to this place. The staff is just call away and are always ready to help.  I would recommend people to stay here and experience themselves.  People are extremely proactive.
 </>
</q>"
42,Great hotel, December 2020,Arjun S,5.0,"<q class=""IRsGHoPm"">
 <>
  Great hotel, delicious food and excellent staff... special mention to Mr Rajat Verma in front office who was an absolute professional in taking good care of the guests. Would be visiting the hotel again for the great hospitality.
 </>
</q>"
43,Great stay, January 2021,s.k sharma,5.0,"<q class=""IRsGHoPm"">
 <>
  Great stay and hospitality! I would like to commend Mr Jayant for all his help right from check in till check out. Excellent food by Chef Ashmit,specially for all our room service orders! ms mehak and mr bhavya were very helpful as well will come back soon!
 </>
</q>"
44,Unmatched Hospitality, January 2021,Ashish Bhaskar,5.0,"<q class=""IRsGHoPm"">
 <>
  From the moment we reached the property, to the time we checked out, we were treated like Royals. They went the extra mile just to ensure that our stay was memorable. Mr. Ankit Manocha, took care of all our requests, and Mr. Raj Kumar took care of all our needs. WITH A SMILE.....
 </>
</q>"
45,Unmatched Hospitality, January 2021,Ashish Bhaskar,5.0,"<q class=""IRsGHoPm"">
 <>
  From the moment we reached the property, to the time we checked out, we were treated like Royals. They went the extra mile just to ensure that our stay was memorable. Mr. Ankit Manocha, took care of all our requests, and Mr. Raj Kumar took care of all our needs. WITH A SMILE.....
 </>
</q>"
46,Excellent services, January 2021,Avnish,5.0,"<q class=""IRsGHoPm"">
 <>
  The hospitality and services specially at Taj Bano restaurant and warmth of Mr. Anwar and Mr. Krishna who attended all guest with full devotion. Would love to visit it again. Full hygiene maintained and I felt safe during Corona pandemic.
 </>
</q>"
47,ITC Royal Mughal Suite- Luxury lounge, January 2021,Simran Jha,4.0,"<q class=""IRsGHoPm"">
 <>
  This was my second time at ITC Agra, but first time with friends! It was a great experience, starting from our lovely luxurious suites, amazing hospitality and the best part was the lounge♥️ Amazing staff- Mr. Omveer Singh catered to our requirements perfectly! Loved the bar and the barista! The food can be upped a notch- wasn’t very fresh, but we were served hot versions once we mentioned the same. Drinks were on point and so was the ambience. Would love coming back here!
 </>
</q>"
48,A sweet and sour experience, January 2021,Julian M,4.0,"<q class=""IRsGHoPm"">
 <>
  I have to say that the Hotel is a fantastic place to stay , we beautiful facilities and rooms but a horrible check-in and reception team. I will have to highlight also the best part of my experience, the Taj Bano Restaurant... food is amazing, good taste with and excellent variety of Indian, Chinese and Continental dishes and the best Mr Bhim. He was the reason of us given a feedback to this hotel, as his hospitality, dedication and support are extraordinary... people at this hotel should follow his was to provide proper service.
 </>
</q>"
49,Visit to ITC Mughal, January 2021,Tuhina,5.0,"<q class=""IRsGHoPm"">
 <>
  So it was a long pending trip. I was supposed to get my grandmother to Agra few months back but due to Covid 19 I did not get the opportunity. I finally took a weekend to show her Taj and booked a room in ITC Mughal. Mr Sanjoo at the front desk was really helpful and he even upgraded our room to a suite which was really kind of him. He made sure me and my grandmother were comfortable throughout our stay and even helped us with our visit to Taj. The dinner at Pavilion was very good but the only drawback was the breakfast. The breakfast was not up to the mark and can be improved. Overall we had an amazing stay and we will forever remember this short trip to Taj.
 </>
</q>"
50,Exemplary service and hospitality, January 2021,K L Mazumder,5.0,"<q class=""IRsGHoPm"">
 <>
  We stayed at the ITC Mughal between 18th to 21st Jan and was very impressed with the service and hospitiality extended during my stay, be it at the Reception, House Keeping and the Restaurant. I was extremely happy and satisfied with the service at the Taj Bano restaurant by Mr Bhim Mukherjee and his team. The quality of the food and the service was exemplary and any request for any item placed was provided within minutes. In addition there was no comparison to the courtsey extended to the guests. Thank you for making my stay extremely memorable and I wish the team at ITC Mughal all the very best.
 </>
</q>"
51,Weekend getaway, January 2021,Pranav D,5.0,"<q class=""IRsGHoPm"">
 <>
  ITC Team wow !! what a wonderful experience you have created. A group of 32, with 7 over 65, and so many below 20, none of them complaint. The hospitality offered was good and the food tasted amazing.The elders felt over comfortable. A special mention to Rajat and Bhavya, to make our trip after 9 months a memorable one, they were extremely supportive, patient and did whatever best they could !   Thanks team itc !!
 </>
</q>"
52,Excellent, January 2021,Abhishek anand,4.0,"<q class=""IRsGHoPm"">
 <>
  So the hotel at very perfect location. Me and my wife visited there just couple of days before.Eveeything is awesome there. Like ambience, staffs behaviour, rooms and environment, all were perfect. Just one thing because of which I could not give you a 5 star that is food. Food were good in taste however somthing was missing. And the missing thing is concept. I mean to say the person or a team who basically decide the menu should understand that you have eveey class of people. Like in dinner there were no normal rice only fried rice and biryani kind of things were available, secondary if you are listing biryani in your menu, you should understand that not all the people eats mutton so should be chciken biryani as well. There were a chicken curry kind of an item as well in dinner
 </>
 <>
  …
 </>
</q>"
53,Superb Stay, January 2021,Deepak K,5.0,"<q class=""IRsGHoPm"">
 <>
  ITC Mughal, Agra is an awesome hotel. After my marriage me and my wife were on tour and stayed in ITC Mughal, Agra from 18-Jan-21 to 20-Jan-21. This place is really very nice and enjoy full. A lot of things are there in the surroundings for the attraction of the visitors. A great hospitality by ITC. Had a very comfortable stay here.  Special thanks to Mr.Sanjoo Singh from Front Office with whom we were in touch starting from booking and who made our stay a memorable stay. He is very nice, soft spoken and a cool person with a welcome smile on his face all the times. - Deepak Kumar
 </>
</q>"
54,My favourite !!, December 2020,Shaleen,5.0,"<q class=""IRsGHoPm"">
 <>
  ITC Mughal is an exceptional Hotel with finest services. They always pamper me and family. The sanitization protocols are being followed religiously across all levels. The hotel is safe and secure. I highly recommend to others. Special mention to Ankit, Ajay, Omveer, Saurabh, Umesh, Gitender, Uday, Srichand, Raj.  Best wishes !
 </>
</q>"
55,Excellent Stay, December 2020,Sayam,5.0,"<q class=""IRsGHoPm"">
 <>
  Stayed during the Christmas break, enjoyed the stay very much. After the initial hiccup of reservation, enjoyed the stay. Like to mention few names who were very polite and inspite of heavy rush were ready to serve. Mr. Mobin at Taj Banu  Mr. Bulkesh at Taj Banu Mr. Rajat At reservation desk Looking forward for my next visit. Sayam Aggarwal
 </>
</q>"
56,Stuff dreams are made of....., January 2021,Abhishek Oberoi,5.0,"<q class=""IRsGHoPm"">
 <>
  Hello all. Firstly, i know that you are reading this to get to my review of ITC Mughal but apologies for kicking my review off with my personal experience on this entire visit. During this pandemic, we all have been scared to move out and have been deferring all the travel itineraries to future periods. However with my 5th wedding anniverasry coming in Jan, i took the plunge of booking the best hotel in Agra, ITC Mughal and got it at a decent package for breakfast and dinner. I was travelling with my mother, wife (ofcourse) and an infant. The day I had to leave for Agra, we were surprised by the morning fog and were thinking of cancelling the visit. But took the risk and drove for 5 hours - cautious and slow to reach our destination. On reaching the hotel, i was surprised to see
 </>
 <>
  …
 </>
</q>"
57,Excellent Stay, January 2021,Vidur Sehgal,5.0,"<q class=""IRsGHoPm"">
 <>
  I recently visited ITC Mughal, Agra and it is safe to say that we had a wonderful staycation at the hotel. A very well made hotel with acres of space and nice and clean rooms. The service is of top quality and we really enjoyed the breakfast buffet. Thanks to Mr.Vishwas, we had a wonderful stay at the hotel. 10/10 recommend
 </>
</q>"
58,Excellent stay , January 2021,Disha D,5.0,"<q class=""IRsGHoPm"">
 <>
  Hotel  team is very efficient and happy to stay in this  hotel . Especially Vishwaas and Rajat from front office who made sure we have comfortable stay and Rishant at breakfast who took very good care of us  and your housekeeping team is extremely nice who made our hard bed perfectly. We will surely recommend others to stay in this hotel .
 </>
</q>"
59,Splendid stay, January 2021,ANSHU M,5.0,"<q class=""IRsGHoPm"">
 <>
  Absolutely outstanding hotel with highly cooperative staff who go beyond and above to make sure you the best time. Mr Ankit Manocha was very amiable and helpful to us. He made sure that all amenities were provided to us as and when needed. One must say that ITC is a great example of hospitality.
 </>
</q>"
60,Jan 21, January 2021,pranav k,5.0,"<q class=""IRsGHoPm"">
 <>
  Excellent Stay! Stupendous. Despite COVID the hotel and its staff was most professional. Good food and lovely ambience. Loved morning walks through the well manicured lawns.  Recommended. The shopping arcade though could have been better. Also wish the spa and pools were open - though that was a COVID restriction.
 </>
</q>"
61,Awesome hospitality, January 2021,Sanjay Arora,5.0,"<q class=""IRsGHoPm"">
 <>
  Our stay at the ITC Mughal Agra was one of the finest and awesome stay. We were overwhelmed with the hospitality and the welcome on arrival. The breakfast was superb with various cuisines. Looking forward again to have a great stay.
 </>
</q>"
62,Fantabulous Property with the Most Hospitable Staff, January 2021,Rahul T,5.0,"<q class=""IRsGHoPm"">
 <>
  ITC is definitely a name we can trust for luxurious properties, well maintained surroundings, polite/smiling staff and relaxing rooms. During my stay I was very impressed with how they are able to maintain such a big property in terms of cleanliness. I could not spot a point that has been left unattended for a while and getting dusty.  The staff is very humble and helpful.  Dinner at Peshawari which comprised of the famous Dal Bukhara with Pudina parantha made the stay successful.  Great effort by ITC team. Thanks  Looking forward to explore other luxury collections by ITC.
 </>
</q>"
63,Simply the best, January 2021,The Traveller,5.0,"<q class=""IRsGHoPm"">
 <>
  We had heard a lot about this hotel and it truly justified the frame it has got.  We enjoyed each moment of our stay right form arrival to departure it's not just the architecture of the hotel but the staff and there hospitality that makes it grand and luxury.
 </>
</q>"
64,Excellent , January 2021,Ankush,5.0,"<q class=""IRsGHoPm"">
 <>
  Our stay was peaceful. The service were exemplary. The food was amazing especially all mutton preparation and biryani. Special thanks to entire staff including Ankit at front desk.   It’s a sprawling property, my 15 month old son enjoyed the most.
 </>
</q>"
65,Holiday vacation, December 2020,Vaibhav S,5.0,"<q class=""IRsGHoPm"">
 <>
  Had a lovely stay at the ITC Agra property. The room was very cosy and comfortable. Great food and superb hospitality. The property is huge with lots to do and good places to walk and enjoy scenery during your stay. Would recommend a visit and stay for sure.
 </>
</q>"
66,A warm thanks to the team, January 2021,Ekta,5.0,"<q class=""IRsGHoPm"">
 <>
  During this crucial time of pandemic I would like to thank the whole team of ITC MUGHAL for making my stay so memorable.The hospitality and the safety measures were upto the mark.Beautiful proper inty where we spend a quality time by exploring it's magnificent greenery and had an unforgettable time relishing over the vast menu of buffet meals.The whole team of dining area and the Chef's were very kind in providing the required taste.I would like to mention few names without whom this stay would have not been successful.Front desk manager's-Mr.Ankit,Mr.Rajat,Chef Rajveer,Chef Ashmit,Chef, Kavita, restaurant manager Miss.Mehak,Mr.Amit,Mr.Gajendra,Mr.Kishan and last but not the least Mr.Umesh(bar)
 </>
</q>"
67,Vacay❤️❤️, January 2021,Neha Manocha,5.0,"<q class=""IRsGHoPm"">
 <>
  Had been to itc Mughal for 5-6 times , as always it has been more comfortable and awesome than the previous one , thanks to the great hospitality and care for every need:: a special thanks to ANKIT MANOCHA at itc taking care in every aspect of the guests . It was amazing and great experience.
 </>
</q>"
68,Yet another memorable stay!, January 2021,Amit0001,5.0,"<q class=""IRsGHoPm"">
 <>
  The ITC Mughal is our home away from home... a perfect getaway from a busy routine to rejuvenate. The warm and friendly staff always remember all of us and go out of their way to ensure our vacation needs are met. There is so much to do in the hotel that one does not even need to step out. A perfect family holiday, with high hygiene and safety standards that live up to their WeAssure promise.
 </>
</q>"
69,Beautiful experience, January 2021,Aanch,5.0,"<q class=""IRsGHoPm"">
 <>
  Amazing experience with friendly staff beautiful ambience and amazing chef Miss Kavita. It is a point where you can see Taj Mahal from. There are huge greens here where one can play walk and rejuvenate.All in all beautiful sanitized environment
 </>
</q>"
70,A beautiful hotel with great ambience, January 2021,Raul Raj,5.0,"<q class=""IRsGHoPm"">
 <>
  An excellent luxurious hotel, located close to Taj Mahal, where one can see the monument on a clear day from the hotel itself. Beautiful garden and interiors, however the fountains were not fully functional, maybe due to COVID. The Check in is contactless but little cumbersome. The rooms are spacious with all requisite features. Staff is welcoming and professional. The Breakfast and Dinner buffet at Taj Bano is fine, however, more variety can be added and the taste is more for the foreign tourists as it is very less spicy. The hotel is observing all COVID prcautions. Would definitely visit again!
 </>
</q>"
71,Truly living up to their motto, December 2020,sanjana97740,5.0,"<q class=""IRsGHoPm"">
 <>
  As usual, hotel staff was amazing and always there to guide you. I was unwell and had to get my breakfast in the room and without any delay, I had it in my room within 30 minutes. Apart from that everything is being sanitised properly and the hotel staff is taking all necessary precautions. So you can still plan your holidays despite the pandemic situation safely.
 </>
</q>"
72,Dr Jaideep Malhotra, January 2021,Jaideep M,5.0,"<q class=""IRsGHoPm"">
 <>
  After a longtime we had a family reunion at Mughal and what a lovely time we had.Right from the awesome walking path,to sumptuous meals,personalised care and thoughtfully done rooms. Thank you so much
 </>
</q>"
73,Awesome, December 2020,Gautami S,5.0,"<q class=""IRsGHoPm"">
 <>
  I Vikas Kumar visited ItC Mughal from 28 th dec 2020 to 1 st Jan 2021. My stay  was most comfortable stay  at hotel,my room was  front of swimming pool, that was much  more relaxing experience i had.My Room ,breakfast, room services and cleaning  was remarkable 👌.  Gala dinner  new year party  was well organized, everything was going on smoothly.  Manager  gave us offer  for gala dinner  party, for that we are delighted and wants to thanks him  thru this also. People of staff are always  trying  to help you out  in any situation. All staff was wonderful. Room was big and very  nicely  decorated. We wish to go there frequently .  From  Vikas Kumar and Gautami.
 </>
</q>"
74,excellent place and food peshawari was really great food, January 2021,atul,5.0,"<q class=""IRsGHoPm"">
 <>
  great hospitality at all times on stay. the front desk staff was really helpful and supportive at all time  The food was really excellent and the staff in peshawari and manger were really supportive and helpful at all times
 </>
</q>"
