,caption,date,customer,rating,transcript
10,Beautiful Hotel with free activities included, March 2020,Karen C,5.0,"<q class=""IRsGHoPm"">
 <>
  We stayed at The Grand Imperial for two nights whilst visiting the Taj Mahal and enjoying a super fun day at the Holi Festival. Very large and comfortable rooms and extremely helpful and obliging staff - especially Sabiya who provided complimentary Henna painting and photos in ‘princess’ costume. Thank you for a lovely stay.
 </>
</q>"
11,Lovely Hotel and Staff, March 2020,Zoe Frances,5.0,"<q class=""IRsGHoPm"">
 <>
  We had a great time at The Grand Imperial - the hotel is lovely and very well maintained. The staff were all very caring and attentive from the minute we arrived, particularly Sabiya who did some beautiful complimentary Henna.
 </>
</q>"
12,Excellent 👍👍, March 2020,Reza,5.0,"<q class=""IRsGHoPm"">
 <>
  Very warm wellcome, thank to ms. Sabiya for Hana...  Good decoration at room, like honeymoon again.. Its feel so good🥰  Next trip will stay here again.. 👍👍👍  Mantep lah pokoke, penyambutannya santuy, sopan,, n mereka bener2 prepare untuk kedatangan kita
 </>
</q>"
13,One of the most charming hotels i have stayed in., March 2020,ChrisLRedDeer,5.0,"<q class=""IRsGHoPm"">
 <>
  Stayed in many hotels in India. Most of the were beautiful built and then neglected. This is the exception. A beautiful maintained heritage property. The staff was from arrival to departure outstanding and  could not do en ought to make you comfortable and feel welcome. From the Henna artist Sabiya to the reception and restaurant staff, all were outstanding and trying to make you feel special.
 </>
</q>"
14,"Beautiful, personalised Henna in the evening by artist Sabiya!", March 2020,Sabrina F,5.0,"<q class=""IRsGHoPm"">
 <>
  Complimentary stunning Henna art carried out by the professional and charming Sabiya from the hotel. She was polite, had interesting conversation and a warm personality. She invited us after a long day of site to have some personalised Henna tattoos. It was relaxing to sit on the lawn, have some polite conversation and listen to some historical knowledge and unwind after a long day with such an intelligent hospitible member of staff. She was welcoming and a pleasure to meet. We love our Henna tattoos, big thank you!
 </>
</q>"
15,Sabiya henna artist, February 2020,Anne W,5.0,"<q class=""IRsGHoPm"">
 <>
  Today I met a charming and talented young henna artist. I am delighted with her wor, a lovely design on my hand and foot. What a lovely surprise to find this service provided by the hotel! Thank you Sabiya and I hope you continue to join your art.
 </>
</q>"
16,Disappointed stay, February 2020,Kita201,2.0,"<q class=""IRsGHoPm"">
 <>
  Disappointed by the miscommunications between hotel staff (reception, restaurant, spa). In room service is very slow.  My husband’s birthday was known to the hotel but went unnoticed. Not even a congratulation.
 </>
</q>"
17,Tourism in Agra, February 2020,jpeate,3.0,"<q class=""IRsGHoPm"">
 <>
  The Grand Imperial is housed in a heritage building from Indian colonial times and price quality seemed quite good when we booked it. The hotel building itself is charming, rooms are nice and well sized, the staff is extremely courteous and welcoming....it is all worth the money you spend and definitely 4 star. I loved the old paintings they have too. But somehow I was disappointed as several factors stop it from being “wow”.  - The lift: built onto the old building, it is a hideous brown glass addition which ruins the look when you first walk in. - The hotel boasts the oddest assortment of photos I have ever seen. They look old but clearly show that the photographer had no idea about photography and lack charm and add no value.  - Lighting: This is terrible throughout the hotel
 </>
 <>
  …
 </>
</q>"
18,Lovely, February 2020,sosoche,5.0,"<q class=""IRsGHoPm"">
 <>
  We had a one night stay in this lovely heritage hotel, with a pretty garden and very nice and large rooms. Special thanks to a very kind and attentionate staff. Certainly the best of its kind in Agra.
 </>
</q>"
19,Mr Ash Samanta, February 2020,Ash S,5.0,"<q class=""IRsGHoPm"">
 <>
  The staff at the hotel are extremely kind and helpful. In particular, Sabiya is a lovely lady who is very helpful and a real artist at applying a henna tattoo to my wife.  The hotel is a beautiful colonial oasis in the middle of Agra. I highly recommend this hotel.
 </>
</q>"
20,Henna, February 2020,Maria L,5.0,"<q class=""IRsGHoPm"">
 <>
  Sabiya did beautiful henna to me and my 2 daughters! Her work is beautiful!! This was a wonderful courtesy of the hotel provided in the courtyard garden of the hotel. She is so talented and we loved it so much we did both our hands and our feet :)
 </>
</q>"
21,Need improvement, February 2020,Rakesh S,4.0,"<q class=""IRsGHoPm"">
 <>
  I visited many time to Grand imperial with my Australian business partner and friends. We love this hotel with beautiful pool with great structure and great staff with smile like restaurant staff is fabulous. We miss chef sanjeev this time he is on leave, but as always wi-fi is always a problem. Need to improve Maintenance like some light and PowerPoint doesn't work which is not acceptable from such a high class hotel. Please please please fix the wi-fi! Apart from these few this we love this hotel.
 </>
</q>"
22,"""A Grand at The Grand""", January 2020,Arpit Chouksey,5.0,"<q class=""IRsGHoPm"">
 <>
  Although i stayed for 1 night but it was over warming...i didn't expect it to be of such a class when i booked the room on a call...but ""Sahaya"" at the hotel made it true..The property is not only a world class heritage but the staff too is outstanding which make it a complete best package...if given a chance to visit agra again my reason will be ""The Grand Imperial"" and not the Taj Mahal...
 </>
</q>"
23,"A gem at The Grand Imperial, Agra", February 2020,bluestar_09,5.0,"<q class=""IRsGHoPm"">
 <>
  Sabiya is a diamond at the Grand Imperial Hotel! Every design is original and absolutely fabulous. We arrived back from a long day visiting Taj Mahal and the Red Fort tired and were welcomed in the gorgeous garden by Sabiya and she painted beautiful designs for all of us including Grandma, my husband and 10 year old son. We felt so relaxed and happy with her and her generosity. Dont think about it, just do it....a beautiful memory to cherish from Agra! Exceptional...
 </>
</q>"
24,Traditional and full of character - quirky!, December 2019,Avril G,4.0,"<q class=""IRsGHoPm"">
 <>
  We stayed for one night. Lovely, traditional welcome, the staff were pleasant and very helpful. It’s a grand old building, traditional, full of history but in need of a refurb. We had a large, comfortable room, very clean. Water and tea were supplied but very limited. Our view was pretty much a brick wall until we reached the window and looked to one side. Having said that, we hadn’t requested a view. The food and the service were good although the coffee was all instant!
 </>
</q>"
25,Truly wonderful stay, January 2020,jmjf31256,5.0,"<q class=""IRsGHoPm"">
 <>
  A real step back in time with a lovely colonial feel to it. Friendly and courteous staff who offer excellent service. Food was very good. Rooms were beautiful with lovely old furniture and a very comfy bed. Thoroughly recommend.
 </>
</q>"
26,No respect for guests, February 2020,BestNarelles,2.0,"<q class=""IRsGHoPm"">
 <>
  The hotel allowed an excessively noisy sports function to be held in the courtyard outside our room one evening. The restaurant food was of average quality and over priced. The massage treatments were also over priced. The guest rooms are comfortable although we had to ask for blankets and a hair dryer. I cannot recommend this hotel.
 </>
</q>"
27,Complimentary henna by Sabiya, February 2020,Lee,5.0,"<q class=""IRsGHoPm"">
 <>
  Would like to say a very special thank you to Sabiya for the henna tattoo. She is a delightful young lady with a great attitude and work ethic. Her English and creativeness is great. She is a fantastic advocate for The Grand Imperial.
 </>
</q>"
28,Grand Imperial, February 2020,FatNat118,5.0,"<q class=""IRsGHoPm"">
 <>
  The Grand Imperial is a stunning hotel. The staff are very friendly and my room was very comfortable. A highlight was having a henna tattoo on my hand by Sabiya. The designs are all her own and she was so interesting to talk to while she worked.
 </>
</q>"
29,"History, tradition and hospitality", January 2020,Maja S,5.0,"<q class=""IRsGHoPm"">
 <>
  We stayed for only one night and had unforgettable day in Agra. Our host, Sabiya, has made our stay more special and we had opportunity to taste Indian hospitality, also through her artistic work, positivity and smile.
 </>
</q>"
30,Best hotel in agra!, January 2020,karsrobles,5.0,"<q class=""IRsGHoPm"">
 <>
  Grand imperial was surely the best choice of hotel in Agra. The staffs were very helpful and did their best to accommodate our needs. My friend bag was broken and they offered to fix it. They also gave us packed breakfast since we were leaving early the next day. Everyone’s hospitable and gave us the best service!  The room was spectacular and lived up to its name! They hotel has beautiful facilities from the room to the facade up to the pool. They also offered free Henna tattoo to the guests and free cultural dance shows and puppet shows!!  This is a 5 star hotel with an affordable price. It’s definitely value for money!
 </>
</q>"
31,A journey in time, January 2020,Richard B,5.0,"<q class=""IRsGHoPm"">
 <>
  Wonderful stay at the Grand Imperial, a historical hotel with traditional Victorian architecture. Wonderful welcome with garlands and our room was spacious, clean and featured some stunning period furniture. A highlight was the henna done by Sabiya! Overall the customer service was superb throughout our stay.
 </>
</q>"
32,Super stay, November 2019,Hubi,5.0,"<q class=""IRsGHoPm"">
 <>
  Very warm welcome at the reception. Sabiya and the other staff at the front desk and in the restaurant were very friendly and obliging. The breakfast buffet wasrich and varied. We had a great suite with access to the garden.  All in all a very nice stay in the hotel and in Agra but unfortunately much too short.
 </>
</q>"
33,Tour of Agra, January 2020,Caroline G,5.0,"<q class=""IRsGHoPm"">
 <>
  I stayed at the grand imperial through a tour that I was on and had a wonderful experience. We were only there for one night but the staff was so friendly and we had a fun evening getting henna drawings and watching a puppet show in the courtyard before dinner. The henna artist was very sweet and we all loved the way the designs turned out. Highly recommend staying when in Agra!
 </>
</q>"
34,Loved the henna tattoo- Shabbianu is the best, January 2020,Eleni P,5.0,"<q class=""IRsGHoPm"">
 <>
  Excellent service from Shabbianu. She is very nice with customers and went out of her way to make my henna tattoo which was offered by the hotel.She would be very good also at the reception service of the hotel.
 </>
</q>"
35,Henne Artist Sabia, January 2020,Sahar A,5.0,"<q class=""IRsGHoPm"">
 <>
  Excellent  henne designed by Sabia in a quick time. Plus, She is kind and lovely. We found her inside the hotel and she suggested to make henne tatoo for us. Different models all beautiful. There are also some traditional things for sell.
 </>
</q>"
36,Marvellous hotel, January 2020,M&A,5.0,"<q class=""IRsGHoPm"">
 <>
  Beautiful heritage property. We were met at the reception by Sabiya who was very friendly and we had a fabulous stay. Many activities included such a dancing, puppets &amp; Spa. Would definitely recommend
 </>
</q>"
37,"Very nice hotel, good food, good location", December 2019,Roxstar99,5.0,"<q class=""IRsGHoPm"">
 <>
  We got in late and left early so we really didn't spend a lot of time here, but the room was clean and really nice, the staff were friendly.  We ate in the restaurant in the evening and the food was very nice and tasty.  The was a wedding on (it was wedding season) so reception warned us that it would be noisy until 10 pm and sure enough at 10 pm the music stopped. We left before breakfast so I can't comment on that.  The hotel is close to the Taj.
 </>
</q>"
38,The combination of Art and professionalism in Grand Imperial Hotel , January 2020,Farzar,5.0,"<q class=""IRsGHoPm"">
 <>
  I enjoyed the stay here. Shabiya is a professional and friendly heena artist who also currently goes through the front desk experience in the Grand Imperial Hotel. I liked her design and fast drawing of heena and wishing her best of luck with her dream job which is the front desk receptionist. I hope to see her in the front desk next time as she is a hard working young lady:)
 </>
</q>"
39,Amazing stay in Grand Imperial Agra, November 2019,Laura,5.0,"<q class=""IRsGHoPm"">
 <>
  We arrived to the Grand Imperial after a long journey from Delhi. We were greeted at the door with fresh towels to clean our faces. The staff were very accommodating and welcoming and quickly brought us to our rooms. We were upgraded to a beautiful suite and the rooms were spacious with a lovely design. The entertainment in the evening by the pool was excellent.There was a traditional dancer outside and were able to get free hennas courtesy of the hotel. We went for dinner in the hotel and the food was amazing. The staff were also very obliging and friendly. We went to bed afterwards as we had an early start to see the sunrise at the Taj Mahal. We had bought sarees beforehand but did not know how to put them on correctly. The lady at reception (I can't remember her name, maybe
 </>
 <>
  …
 </>
</q>"
40,Memorable and evocative, December 2019,Charlotte B,5.0,"<q class=""IRsGHoPm"">
 <>
  The building is impressive and spacious; we were upgraded to a beautiful suite, with a lounge area and ensuite with shower and bath....   The team was the best part; Sahaya and Anujain were so friendly and great ambassadors for the hotel.  They also came to the rescue when our external airport transfer fell through, which I really appreciated. We were only there for two days, but would happily stay longer.  Great live music in the restaurant, and we had a special occasion; a beautiful cake was provided.  Being so close to the Taj Mahal, it was obviously also in a great location, and our guide (I think booked through the hotel) was very knowledgable and helpful. Hope to return.
 </>
</q>"
41,Beautiful hotel, May 2019,Izzy W,5.0,"<q class=""IRsGHoPm"">
 <>
  We stayed here for two nights while we were in Agra. The architecture of the hotel is fabulous, as was the beautiful room. The staff were great, it was my friends birthday and they brought up a cake to the room, special mention to Shabiya who was a great henna artist and really lovely. The dancing entertainment in the evening by the pool is a fun special touch.
 </>
</q>"
42,Beautiful Heritage Hotel, December 2019,Liz Tully,4.0,"<q class=""IRsGHoPm"">
 <>
  We spent 3 nights here over Christmas. The hotel in very a very beautiful heritage hotel, our room was a spacious suite with beautiful decor. Whilst the room was beautiful, it was very cold even with heaters and extra blankets.  We ate in the restaurant several times and the food was excellent. As you'd expect, the local food was far better than the 'western' style food.  The highlight of our stay was the Christmas Eve gala dinner. The food was amazing and entertainment was great. The staff had put so much effort into making the night a success.   The downsides were very unreliable internet. Even when we checked out we were unable to pay our bill by credit card as there was no connection. Overall,  if you're looking for something different it's a great place to stay. If you're
 </>
 <>
  …
 </>
</q>"
43,Dated - not recommended, December 2019,cfrew2018,2.0,"<q class=""IRsGHoPm"">
 <>
  This is the worst hotels we had in India . The two delux  double rooms were not as published . We were moved to a suite which albeit large with updated bathroom , was musty ( needed airing ) very  cold - no heating so provided with very old blow heater and a bar heater in room  to warm the room. The bath robes were rags and should be thrown out or used for cleaning not provided to guests. The food in restaurant was average thou eatable . We needed to leave a day earlier due to ill health of a parent so needed to leave earlier missing the second night. Refunded 1 room cost for second night not both rooms . The staff were welcoming on arrival, attentive and pleasant . Not recommended - needs new furnishings, towels , robes  and rooms need airing
 </>
</q>"
44,Leisuretrip, December 2019,Aaru78,5.0,"<q class=""IRsGHoPm"">
 <>
  As my meeting for in the city, so relying upon the previous reviews I preferred to book this hotel, connectivity to reach this hotel was pretty much good, and on reaching there the reception I received was aesthetically pleasent. Room was so comfy! Services were prompt, this was over all worth staying at the very best price.
 </>
</q>"
45,Fabulous Boutique HOtel, December 2019,samantha,5.0,"<q class=""IRsGHoPm"">
 <>
  We came to India as a part of group from france so didnot book any hotel ourselfes and had no expectation it was such a lovely surprise arrionving at this chracter filled boutique hotel from the entrance style heritage style with doomed ceiling large bed  it has very comfortable room and modern ensuite bathroom with pool access rooms with fantastic views. All in n all execllent place to stay.
 </>
</q>"
46,Grand hotel, December 2019,Jojo,5.0,"<q class=""IRsGHoPm"">
 <>
  This is one of the best hotel.we have ever stayed in India.so closed to the taj mahal.we had the most luxurious suite walking out on large lawn with palm trees food was excellent.staff so helf full thanks so very much for stay in wonderful india
 </>
</q>"
47,Excellent service, December 2019,Alfredo medina,5.0,"<q class=""IRsGHoPm"">
 <>
  It was a very beautiful place, comfortable and the service was perfect since the begin very kind in the reception desk and very good attention while we wait for the check in, thank you for everything!
 </>
</q>"
48,"Good location, very poor rooms, dump walls, lot of dust", July 2019,littleprabin,1.0,"<q class=""IRsGHoPm"">
 <>
  Had booked 2 rooms for a day for family. the front desk said only 2 rooms are available for us and all other rooms are occupied. Despite asking multiple times for a good rooms, we were given dump rooms. Both the rooms alloted to us were dump and has lot of dust specially on the bed top. Later on asking they said they never knew that the rooms were dump ( this was a clear lie as the whole wall had the issue )and said when you were given the room if you would have said this, we would have given a different room. Which was completely different than what they said during checkin. Next day i overheard in the reception and they were talking of giving a better room to some foreigners who were waiting for checkin. I really hated this differeciation. This is unethical and not accepted at
 </>
 <>
  …
 </>
</q>"
49,Loved loved The Grand Imperial, November 2019,Ymile K,5.0,"<q class=""IRsGHoPm"">
 <>
  Traveling through India for one month, this was one of my two favorite hotels in India! Situated perfectly to visit the Taj Mahal! We had the most luxurious suite walking out on large lawn with palm trees! So sorry we could not stay longer than the two days we stayed there! Food was excellent, staff so helpful - welcomed with lays of marigolds around our necks with welcoming drink! Everything just superb! Thanks so very much for wonderful stay in wonderful India!
 </>
</q>"
50,Beautiful  but noisy, November 2019,GailWyness,3.0,"<q class=""IRsGHoPm"">
 <>
  We spent two nights at this beautiful heritage hotel, I loved the old fashioned brass padlocks on the doors. Our room was spacious, beautiful and clean, but a little dark and the blinds could not be opened. As the room opened onto an open baloney road noise could be hear thought out the night. I was told at check in that our room had been up-graded, however we booked and received a deluxe Room, so at the loss on that one.  Restaurant was overpriced and food unappealing. At breakfast waiting an age for 2 omelettes to be made, despite the restaurant being mostly empty. On our second night we were given the bill after ordering 1 after dinner drink which made us feel most unwelcome.   The hotel hosted a wedding during our stay, which detracted from the traditional Indian dance show
 </>
 <>
  …
 </>
</q>"
51,Good, November 2019,Shruti V,3.0,"<q class=""IRsGHoPm"">
 <>
  Location is good..rooms r good only on 2nd floor..facility is average 2days stay in this hotel ,not getting enough hot water in this cold weather..staff is v .good..breakfast was v. good but rooms on ground floor need net doors to keep it ventilated..overall itsabove  average 3/5
 </>
</q>"
52,"Small, Luxurious Colonial-Style Hotel", November 2019,bobohagan,5.0,"<q class=""IRsGHoPm"">
 <>
  We spent two nights in November at the Grand Imperial Hotel.  They hosted a small (100 guests) wedding on one night and this may account for our free upgrade, so our room was really lovely - large, clean, comfortable and well-equipped with an excellent bathroom (including traditional freestanding bathtub).  The room was also impressively quiet despite the hotel being on a main road, and we were not unduly disturbed by the wedding, late night fireworks etc.  The rooms open out onto an external corridor which creates a communal verandah overlooking the garden, with your own easy chair to enjoy a read or a drink.  The bar is a relaxing spot for pre-dinner drinks and the traditional-style dining room, complete with sitar and tabla playing duo, offers a tasty range of indian and
 </>
 <>
  …
 </>
</q>"
53,Had hoped for better, November 2019,Julia G,3.0,"<q class=""IRsGHoPm"">
 <>
  This is a very nice hotel, don't misunderstand, BUT it is a bit far from the Taj Mahal and requires transport for everywhere. The hotel has a british imperial feel with Indian details but is more hotel than indian experience. The food is very nice and the music at dinner create a wonderful atmosphere. Breakfast is abundant and varied. THey have a fun free service of Henna tattoos for hands and feet in the garden in the afternoons and the young lady is marvelous - very talented. The rooms unfortunately do not have quite enough light or air as they are set back in off a long open corridor but they are full of atmosphere and have AC so if you need a place to sleep while in agra this is sufficient.
 </>
</q>"
54,Amazing, March 2019,Sayeda Asra,5.0,"<q class=""IRsGHoPm"">
 <>
  I have stay in this hotel for 2 night and it was amazing experience. This hotel is almost 100 year old and you can't feel it once you are in room because everything is so well maintained. Staff were in talking. Room is huge and bathroom is one of the biggest bathroom I have find in any hotel. Just step out from room and you will in garden and swimming pool. Ask for ground floor rooms.
 </>
</q>"
55,Classy Classic hotel, November 2019,coll612,5.0,"<q class=""IRsGHoPm"">
 <>
  This hotel goes to the enth degree to ensure your stay is special  Opulent rooms Restaurant albeit pricey was top quality  This hotel provides complimentary Hannah tattoos artists- Shabiya was extremely talented The spa managed by Meeta was also superb and good value- she was so lovely  We loved the Grand Imperial and can’t recommend it more highly- thank you BTW- when you do the tours ask for tour guide - Mushkam aka Mickey - he was awesome and a real gentleman!
 </>
</q>"
56,Great base for Taj Mahal, November 2019,LuckyRoamer,5.0,"<q class=""IRsGHoPm"">
 <>
  Hotel was an old style heritage hotel.  Very cute with intresting  ""character"" features.  The hotel staff were very friendly and helpful. It proved a good base for the Taj Mahal. If in the area, would stay here again.
 </>
</q>"
57,Magnificent trip, October 2019,John Doe,5.0,"<q class=""IRsGHoPm"">
 <>
  The ambience is great. Authentic heritage Indo Saracenic architecture with a touch of modernism. The staff is courteous and welcoming. Proximity to monuments is great. Blissful experience. The locality is posh.
 </>
</q>"
58,Back in time, October 2019,The Return Journey,5.0,"<q class=""IRsGHoPm"">
 <>
  A totally enchanting hotel - far away from the glitz of modern hotels - which of course have their place in today's world - but if one appreciates the quiet elegance and beauty of a bygone era then this place is for you.  The service is amazing and gracious and a very good selection of Indian and western food is available. Looking at the history of this colonial hotel , it has had quite a few influential and famous people stay there including Prime Minister Nehru and the last Viceroy of India Mountbatten. There are many pictures on the walls that attest to this.  This hotel is very comfortable and evocative of a time gone by. Will certainly stay again.
 </>
</q>"
59,Stunning Atmospheric Heritage Hotel, October 2019,CinCub,5.0,"<q class=""IRsGHoPm"">
 <>
  This beautiful heritage hotel makes you feel like you've gone back in time. So calm and tranquil with beautiful gardens.    This place is about atmosphere, history and Indian hospitality not mod cons.  I loved the old fashioned brass padlocks on the doors....no keycards here!  The rooms where authentic and beautiful.  The manager showed us around some of the other rooms and explained to us how much research went into choosing and sourcing furniture and accessories that would be in keeping with the hotel.   The rooms are a little dark, as probably when the hotel was built they wanted to minimise the heat impact (pre air conditioning), however this did not hinder our enjoyment one bit.   This is not a shiny, blingy usb ports everywhere place... This is a authentic elegance! I
 </>
 <>
  …
 </>
</q>"
60,Emperor Quality , October 2019,TRAVEL_LOVER96,5.0,"<q class=""IRsGHoPm"">
 <>
  Thoroughly enjoyed our stay here. Check in was very welcoming. The hotel gro7nd are beautiful.The rooms are absolutely gorgeous, truly a treat for the senses. The pool was lovely and refreshing. Lounge chairs around the pool are relaxing. Had one massage at the spa, it was very nice to help a guest relax. The lady at reception also painted my hand with henna, it was a beautiful touch. At the restaurant the service was very attentive, food was really delicious. They even had a live indian music band playing while we were there. Breakfast was really good. Good selection, but not too much where it's hard to decide.  Check out was a breeze. I'd stay here again for sure. Highly recommend
 </>
</q>"
61,"Nice hotel, friendly staff", October 2019,Traian R,5.0,"<q class=""IRsGHoPm"">
 <>
  Hotel was very good, large and clean rooms, staff very friendly and polite. It's not really a 5* hotel but rather a 4* hotel so don't have big expectations if you are looking for 5* European standard.
 </>
</q>"
62,"My experience in HOtel Grand Imperial, Agra", October 2019,manoranjan biswas,5.0,"<q class=""IRsGHoPm"">
 <>
  Excellent Room. The reception to the guest was unique in comparison to any star hotel any where in India I have com e across. To explain, hotel receptionist personally guided me  to the room. I think no where u will find this culture.All aspects of hotel starting from room cleanliness, food etc are more than excellent. I love to stay again. The people should try this hotel.
 </>
</q>"
63,Stunning, October 2019,Sheppy851,5.0,"<q class=""IRsGHoPm"">
 <>
  Amazing welcome and lovely place to stay. An escape from the hustle and bustle of Agra. Would recommend to my friends.  Taking in a book whilst drinking a cold beer in the garden... blissful.  Would come back .............
 </>
</q>"
64,Disappointing and shabby, October 2019,Catherine B,2.0,"<q class=""IRsGHoPm"">
 <>
  The photos for this hotel look lovely, but I was terribly disappointed by the reality. The first room I was given did not have any windows - to their credit they moved me to a nicer room when I complained.   The surrounding area was blaring loud music both nights of my stay, all through the afternoon (when sitting by the sad and tired pool) and night (was still playing at 4am).   If you’re planning a trip to the Taj Mahal, I would stay one night in Agra at most, and not in this hotel. It’s sad and dated - the rooms are dark, towels are limp and greying, linen and pillows very thin.   The hotel car was very nice and they picked me up on time from Agra Cantt station, but it was highly overpriced (1000 rupees + tax) relative to other hotels I’ve stayed at on my trip.
 </>
</q>"
65,Fantastic stay, September 2019,Mark_Reeve,5.0,"<q class=""IRsGHoPm"">
 <>
  Thank you to the staff who made our recent stay very comfortable. The rooms were magnificent and beautiful gardens. Great food and service at dinner one night and breakfast. A special thank you to Sanjeev Mamta and Uday Bhan for fantastic service. Definitely recommend a stay here. Mark and Sally, London
 </>
</q>"
66,basic hotel in beautiful building, May 2019,Alon R,3.0,"<q class=""IRsGHoPm"">
 <>
  basic hotel, basic breakfast and normal level of food at dinner, reconstruction at the hotel during our vacation with no help from the staff, basic facalities, good position, beautifull old building, same staff proformance every evening
 </>
</q>"
